Date,Price,Open,High,Low,Volume,Chg%
30-05-2023,82.665,82.557,82.794,82.548,0,0.001
29-05-2023,82.586,82.591,82.682,82.511,0,0.0002
26-05-2023,82.57,82.745,82.748,82.542,0,-0.002
25-05-2023,82.733,82.68,82.821,82.666,0,0.0008
24-05-2023,82.67,82.88,82.897,82.57,0,-0.0019
23-05-2023,82.83,82.835,82.89,82.749,0,-0.0001
22-05-2023,82.84,82.809,82.903,82.725,0,-0.0005
19-05-2023,82.878,82.767,82.953,82.623,0,0.0019
18-05-2023,82.72,82.453,82.797,82.348,0,0.0039
17-05-2023,82.4,82.272,82.46,82.26,0,0.0017
16-05-2023,82.264,82.239,82.317,82.16,0,0.0003
15-05-2023,82.237,82.244,82.388,82.182,0,0.0008
12-05-2023,82.173,82.12,82.244,82.095,0,0.001
11-05-2023,82.09,81.926,82.195,81.901,0,0.0023
10-05-2023,81.9,82.105,82.114,81.875,0,-0.0024
09-05-2023,82.1,81.787,82.162,81.771,0,0.004
08-05-2023,81.77,81.711,81.836,81.659,0,0.0009
05-05-2023,81.7,81.718,81.827,81.652,0,-0.0001
04-05-2023,81.71,81.762,81.829,81.652,0,-0.0006
03-05-2023,81.755,81.788,81.872,81.67,0,0.0001
02-05-2023,81.75,81.795,81.961,81.715,0,-0.0002
01-05-2023,81.77,81.795,81.814,81.715,0,0.0006
28-04-2023,81.72,81.72,81.87,81.706,0,0.0003
27-04-2023,81.695,81.732,81.864,81.594,0,-0.0006
26-04-2023,81.74,82.004,82.026,81.679,0,-0.0027
25-04-2023,81.965,81.871,82.043,81.852,0,0.0002
24-04-2023,81.95,82.095,82.115,81.865,0,-0.001
21-04-2023,82.03,82.14,82.22,82.008,0,-0.0011
20-04-2023,82.12,82.308,82.355,82.05,0,-0.0018
19-04-2023,82.265,82.098,82.288,82.057,0,0.0023
18-04-2023,82.08,81.995,82.115,81.948,0,0.0012
17-04-2023,81.98,81.915,82.096,81.859,0,0.002
14-04-2023,81.82,81.701,81.93,81.547,0,0.0021
13-04-2023,81.65,82.008,82.027,81.628,0,-0.0034
12-04-2023,81.93,82.088,82.126,81.93,0,-0.0013
11-04-2023,82.04,81.966,82.16,81.927,0,0.0009
10-04-2023,81.965,81.844,82.045,81.761,0,0.0013
07-04-2023,81.86,81.832,81.91,81.79,0,0.0005
